Model,Train OA,Val OA,Train F1,Val F1,Overfitting (OA)
Random Forest,1.0,0.4987430869783811,1.0,0.4892220248757315,0.5012569130216189
1D-CNN,0.5888661284492107,0.4685771744595274,0.586073731064201,0.4619529663838441,0.12028895398968331
